Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P04264	CON__P04264	56	1	1		1	56	1	1	53.9	1.4	1.4	66.017	644	644	0.008285	6.0588	24791	16677	9195.4	202580	17129	0	4526.4	5711.6	12794	17681	17966	7792.5	3757.2	27316	16978	22746	17733	10684	188820	16851	8414.1	5436	6041.5	12664	17252	17662	9100	4897	25765	16029	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	73738000	1			+	21	169;1389;1447;2386;2387;2669;2727;2992;3020;3412;3932;4192;4193;4194;4360;4459;4858;4896;4897;5082;5083;5668;5669;5681;5682;5747;5748;5844;6121;6122;6123;6646;6650;6763;6802;6803;6871;6933;6948;6949;6978;7034;7035;7077;7256;7687;7688;7787;7833;7834;8011;8012;8190;8805;8900;8903	False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False	171;1431;1432;1492;1493;2470;2471;2762;2823;3094;3122;3526;4061;4062;4334;4335;4336;4505;4610;4611;5023;5024;5064;5065;5257;5258;5895;5896;5908;5909;5982;5983;5984;5985;6084;6377;6378;6379;6918;6922;7037;7077;7078;7149;7212;7228;7229;7258;7320;7321;7365;7555;7996;7997;8099;8150;8151;8336;8337;8518;9160;9255;9258	266;267;2298;2299;2300;2301;2302;2303;2304;2305;2306;2391;2392;2393;2394;2395;2396;2397;2398;2399;3988;3989;3990;3991;4411;4412;4503;4504;4505;4506;4507;4508;4509;4510;4511;4512;4513;4514;4515;4516;4517;4518;4519;4520;4521;4902;4903;4904;4905;4906;4951;4952;5617;5618;5619;6467;6468;6469;6470;6889;6890;6891;6892;7125;7126;7127;7128;7289;7290;7291;7905;7906;7907;7908;7909;7965;7966;7967;7968;8299;8300;8301;8302;9309;9310;9311;9312;9313;9331;9332;9333;9334;9335;9455;9456;9457;9458;9459;9460;9461;9462;9463;9464;9603;10144;10145;10146;10147;10148;10149;10150;10151;10928;10932;11109;11110;11161;11162;11163;11164;11165;11166;11282;11283;11367;11368;11369;11392;11393;11394;11395;11396;11397;11449;11450;11451;11452;11561;11562;11563;11564;11565;11566;11567;11641;11642;11643;11644;11910;12615;12616;12617;12618;12765;12766;12767;12768;12839;12840;12841;12842;12843;12844;13147;13148;13149;13424;14408;14409;14410;14411;14412;14413;14414;14415;14556;14557;14558;14561;14562	335;336;337;338;3007;3008;3009;3010;3011;3012;3013;3014;3015;3016;3017;3018;3019;3125;3126;3127;3128;3129;3130;3131;3132;3133;5171;5172;5173;5174;5175;5176;5177;5178;5179;5180;5181;5720;5721;5819;5820;5821;5822;5823;5824;5825;5826;5827;5828;5829;5830;5831;5832;5833;5834;5835;5836;5837;5838;5839;5840;5841;5842;5843;5844;6318;6319;6320;6321;6322;6323;6370;6371;6372;6373;6374;6375;6376;6377;6378;7376;7377;7378;7379;8559;8560;8561;8562;8563;9190;9191;9192;9193;9194;9195;9510;9511;9512;9513;9514;9718;9719;9720;10538;10539;10540;10541;10542;10610;10611;10612;10613;10614;10615;10616;11064;11065;11066;11067;11068;12381;12382;12383;12384;12385;12386;12387;12388;12389;12415;12416;12417;12418;12419;12571;12572;12573;12574;12575;12576;12577;12578;12579;12580;12581;12748;13483;13484;13485;13486;13487;13488;13489;13490;13491;13492;14480;14484;14708;14709;14762;14763;14764;14765;14766;14767;14909;14910;14911;15007;15008;15009;15010;15037;15038;15039;15040;15041;15042;15043;15109;15110;15111;15112;15113;15114;15264;15265;15266;15267;15268;15269;15270;15271;15272;15273;15274;15373;15374;15375;15376;15377;15378;15379;15380;15381;15717;16562;16563;16564;16565;16566;16567;16745;16746;16747;16748;16749;16750;16751;16838;16839;16840;16841;16842;16843;16844;16845;16846;17209;17210;17211;17212;17213;17214;17215;17216;17217;17218;17613;18944;18945;18946;18947;18948;18949;18950;18951;18952;18953;18954;18955;18956;18957;18958;18959;18960;18961;18962;19124;19125;19126;19127;19130;19131;19132;19133	338;3019;3131;5176;5181;5721;5831;6320;6375;7379;8563;9191;9194;9195;9510;9718;10538;10614;10615;11064;11066;12382;12388;12415;12419;12575;12581;12748;13485;13488;13491;14480;14484;14708;14763;14766;14910;15009;15039;15043;15113;15267;15273;15374;15717;16562;16565;16746;16838;16843;17209;17218;17613;18949;19126;19132	14;15;16;17	259;262;296;469
sp|P05787|K2C8_HUMAN;CON__P05787;CON__H-INV:HIT000292931;CON__Q9H552;CON__H-INV:HIT000016045;CON__REFSEQ:XP_092267	sp|P05787|K2C8_HUMAN;CON__P05787	42;42;18;12;5;3	37;37;17;10;2;3	33;33;15;8;2;3	sp|P05787|K2C8_HUMAN Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7;	6	42	37	33	72.3	68.3	63.1	53.704	483	483;483;443;499;99;213	0	323.31	2360700	2976200	1578500	3280700	2577600	750200	315680	3966900	1258300	1486500	2388000	2276700	2404100	1661800	452500	2170900	2775900	1672900	3278000	2537600	988990	464850	3796400	1281700	1652600	2378200	2268800	2358300	1598100	466320	81	81	81	81	81	79	80	81	81	81	81	81	81	81	81	13630000000	86			+	22	170;764;765;1081;1386;1387;1929;2257;2285;2286;2384;2665;3180;3759;4093;4471;4495;4538;4741;4789;4974;4975;5108;5282;5681;5682;6178;6623;6979;7124;7229;7467;7582;7591;7592;7755;7895;8009;8659;8838;8900;8905	True;True;True;True;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True	172;173;785;786;1114;1428;1429;1999;2000;2338;2339;2367;2368;2468;2758;3287;3882;4229;4623;4647;4692;4902;4954;5144;5145;5283;5463;5908;5909;6434;6894;7259;7260;7417;7418;7528;7767;7884;7897;7898;8066;8214;8334;9009;9193;9255;9260	268;269;270;1222;1223;1224;1788;2294;2295;2296;3252;3253;3254;3255;3256;3775;3776;3777;3778;3815;3816;3817;3982;3983;4404;5218;6173;6708;7307;7338;7339;7405;7724;7725;7817;7818;8086;8087;8088;8336;8337;8629;8630;9331;9332;9333;9334;9335;10238;10239;10896;11453;11454;11455;11456;11457;11740;11741;11742;11877;12226;12396;12456;12457;12458;12717;12935;12936;13145;14202;14466;14467;14556;14557;14558;14564	339;340;341;1601;1602;1603;1604;2357;3003;3004;3005;4264;4265;4266;4267;4268;4890;4891;4892;4893;4894;4895;4896;4936;4937;4938;4939;4940;4941;4942;4943;4944;5164;5165;5166;5710;6737;8148;8149;8942;8943;9738;9778;9779;9869;9870;10308;10309;10310;10433;10434;10753;10754;10755;10756;10757;10758;10759;10760;11111;11112;11113;11484;11485;11486;12415;12416;12417;12418;12419;13615;13616;14438;15115;15116;15117;15118;15119;15120;15511;15512;15513;15676;16087;16292;16381;16382;16383;16680;16949;16950;16951;17207;18695;18696;18697;18698;19029;19030;19124;19125;19126;19127;19135	339;1603;1604;2357;3003;3005;4267;4891;4938;4944;5164;5710;6737;8149;8942;9738;9779;9869;10310;10433;10759;10760;11112;11484;12415;12419;13616;14438;15120;15513;15676;16087;16292;16382;16383;16680;16949;17207;18696;19029;19126;19135	9;18;19;20;21	136;248;256;281;378
sp|P07477|TRY1_HUMAN;CON__P07477;sp|Q8NHM4|TRY6_HUMAN;sp|P07478|TRY2_HUMAN	sp|P07477|TRY1_HUMAN;CON__P07477;sp|Q8NHM4|TRY6_HUMAN;sp|P07478|TRY2_HUMAN	2;2;1;1	1;1;1;1	1;1;1;1	sp|P07477|TRY1_HUMAN Trypsin-1 OS=Homo sapiens OX=9606 GN=PRSS1 PE=1 SV=1;;sp|Q8NHM4|TRY6_HUMAN Putative trypsin-6 OS=Homo sapiens OX=9606 GN=PRSS3P2 PE=5 SV=2;sp|P07478|TRY2_HUMAN Trypsin-2 OS=Homo sapiens OX=9606 GN=PRSS2 PE=1 SV=1	4	2	1	1	11.3	8.1	8.1	26.558	247	247;247;247;247	0.00091743	7.0162	17694	19401	18188	18846	15173	5292.2	5630	18154	12225	17082	18084	14595	15024	13738	4539.5	16315	18068	18326	19018	15690	6492.4	6357.2	17846	12345	17366	18036	14907	14920	13141	4524.3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	23841000	2			+	23	4591;5674	True;False	4748;5901	7496;7497;9321;9322	10025;10026;12400;12401	10025;12400		
CON__P08779;sp|P08779|K1C16_HUMAN;CON__Q9Z2K1;CON__Q3ZAW8;CON__Q61782;CON__Q9D312;CON__Q99456;sp|Q99456|K1C12_HUMAN;sp|O76015|KRT38_HUMAN;CON__O76015;sp|Q8N1A0|KT222_HUMAN;CON__O76013;CON__Q7Z3Y9;sp|Q7Z3Y9|K1C26_HUMAN;CON__A2AB72;CON__O76014;sp|O76014|KRT37_HUMAN;CON__Q14532;sp|Q14532|K1H2_HUMAN;CON__Q8N1A0;sp|O76013|KRT36_HUMAN	CON__P08779;sp|P08779|K1C16_HUMAN;CON__Q9Z2K1;CON__Q3ZAW8	31;31;16;16;4;4;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	15;15;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	15;15;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	;sp|P08779|K1C16_HUMAN Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4;;	21	31	15	15	55.4	35.3	35.3	51.267	473	473;473;469;474;93;431;494;494;456;456;295;467;468;468;453;471;449;448;448;295;467	0	208.36	475320	610710	1006900	862230	540550	93353	96969	630650	295900	594990	308470	264840	519890	417980	151150	441850	571490	968980	846240	582570	151440	128050	615330	295940	594720	319260	286920	505860	396800	150890	25	25	25	25	25	23	23	25	25	25	25	25	25	25	25	2392600000	26			+	24	466;625;769;770;975;1304;1451;2073;2181;2199;2974;3594;3712;4145;4314;4400;4402;4525;4526;5620;6070;6323;6657;6827;7548;7757;7914;7915;8414;8481;8703	False;True;False;False;True;True;False;True;True;True;True;True;False;True;False;False;False;False;False;True;False;True;False;True;True;True;False;False;False;True;False	477;644;790;791;1004;1343;1498;2151;2260;2280;3074;3075;3711;3835;4287;4459;4546;4548;4678;4679;5844;6323;6324;6586;6929;7103;7850;8068;8233;8234;8752;8821;8822;9053;9054	721;722;1003;1004;1228;1229;1230;1559;1560;2170;2407;3515;3659;3660;3694;3695;4875;4876;4877;5913;5914;6111;6821;7058;7059;7060;7187;7188;7190;7191;7389;7390;9203;10047;10048;10049;10466;10941;11203;12342;12719;12974;12975;13767;13905;13906;14267;14268;14269;14270;14271;14272;14273	922;923;1314;1315;1608;1609;1610;2048;2049;2846;3141;4610;4770;4771;4805;4806;6282;6283;6284;6285;6286;7789;7790;8073;9099;9424;9425;9426;9427;9583;9584;9585;9586;9588;9589;9853;9854;12204;13343;13344;13345;13346;13347;13899;14494;14495;14810;16229;16682;17005;17006;18073;18074;18302;18303;18304;18777;18778;18779;18780;18781;18782;18783	923;1314;1608;1610;2048;2846;3141;4610;4771;4805;6282;7790;8073;9099;9425;9584;9589;9853;9854;12204;13345;13899;14494;14810;16229;16682;17005;17006;18074;18304;18782	4;7;22;23	14;121;274;353
sp|P12035|K2C3_HUMAN;CON__P12035;CON__Q01546	sp|P12035|K2C3_HUMAN;CON__P12035;CON__Q01546	14;14;11	1;1;0	0;0;0	sp|P12035|K2C3_HUMAN Keratin, type II cytoskeletal 3 OS=Homo sapiens OX=9606 GN=KRT3 PE=1 SV=3;;	3	14	1	0	12.3	1.6	0	64.416	628	628;629;638	0.00092678	7.1353	27053	56751	28090	60657	17868	8786.7	10911	41837	30366	27075	28373	18760	24242	17326	15457	24946	52871	28219	60591	19088	12878	11854	40523	29913	27854	28812	19317	24431	16580	14945	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	46276000	1			+	25	167;652;1448;2285;2286;2384;4058;4303;4304;4362;4363;7475;7476;8900	True;False;False;False;False;False;False;False;False;False;False;False;False;False	169;671;1494;1495;2367;2368;2468;4193;4447;4448;4507;4508;7775;7776;9255	263;1048;2400;2401;2402;2403;2404;3815;3816;3817;3982;3983;6653;7041;7042;7130;7131;7132;12239;12240;14556;14557;14558	331;1372;3134;3135;3136;3137;3138;4936;4937;4938;4939;4940;4941;4942;4943;4944;5164;5165;5166;8867;9404;9405;9516;9517;9518;16103;16104;19124;19125;19126;19127	331;1372;3138;4938;4944;5164;8867;9404;9405;9516;9518;16103;16104;19126	24	489
CON__P12763	CON__P12763	1	1	1		1	1	1	1	2.8	2.8	2.8	38.418	359	359	0.00093545	7.2088	28305	24881	22678	27212	21843	11250	10229	45999	19451	28643	29890	42272	25085	21818	10551	26055	23238	23405	27329	22385	13181	11148	44559	19750	30445	29798	41740	25039	21195	10348	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29459000	1			+	26	3285	True	3397	5400	7016	7016		
sp|P13645|K1C10_HUMAN;CON__P13645;sp|Q7Z3Y7|K1C28_HUMAN;CON__Q7Z3Y7;sp|Q7Z3Y8|K1C27_HUMAN;CON__Q7Z3Y8;sp|Q7Z3Z0|K1C25_HUMAN;CON__Q7Z3Z0	sp|P13645|K1C10_HUMAN;CON__P13645	41;41;6;6;4;4;2;2	41;41;6;6;4;4;2;2	27;27;1;1;0;0;0;0	sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6;	8	41	41	27	51.7	51.7	40.1	58.826	584	584;593;464;486;459;459;450;450	0	323.31	4399200	11145000	4520900	16029000	4586600	1849900	1879400	4540400	8614700	5575900	4513700	4599800	4959400	6495300	3395800	4056400	10434000	4566000	15713000	4673900	2782100	2205100	4554700	8311500	5622200	4775800	4798700	4969100	6173400	3276800	192	192	192	192	192	189	190	192	192	192	192	192	192	192	192	84760000000	196			+	27	143;144;473;970;1948;1949;2998;3189;3541;3718;3901;4143;4144;4314;4400;4402;4517;4760;5618;5619;5802;5915;5922;6341;6356;6357;6582;6658;6809;6954;6955;6956;7019;7227;7228;7303;7707;8415;8416;8703;8915	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	143;144;145;146;486;999;2019;2020;3100;3296;3658;3841;4029;4283;4284;4285;4286;4459;4546;4548;4670;4922;5840;5841;5842;5843;6040;6160;6168;6169;6170;6604;6619;6620;6852;6930;7084;7234;7235;7236;7303;7526;7527;7602;8016;8753;8754;8755;9053;9054;9270	210;211;212;213;214;215;216;217;218;219;220;741;742;1551;1552;3281;3282;3283;3284;3285;3286;3287;4914;4915;4916;4917;4918;4919;4920;5227;5228;5842;6121;6410;6411;6816;6817;6818;6819;6820;7058;7059;7060;7187;7188;7190;7191;7377;7378;7764;7765;9198;9199;9200;9201;9202;9538;9539;9540;9541;9744;9745;9746;9747;9748;9759;9760;9761;9762;9763;9764;9765;9766;9767;9768;9769;9770;9771;9772;10494;10495;10496;10497;10516;10517;10518;10840;10942;11172;11173;11406;11407;11408;11409;11410;11411;11412;11413;11532;11533;11534;11871;11872;11873;11874;11875;11876;11973;11974;11975;11976;12645;12646;13768;13769;13770;13771;13772;13773;13774;14267;14268;14269;14270;14271;14272;14273;14582	263;264;265;266;267;268;269;270;271;272;273;274;949;950;951;2036;2037;2038;4295;4296;4297;4298;4299;4300;4301;4302;6331;6332;6333;6334;6335;6336;6337;6338;6753;6754;6755;7703;7704;8087;8088;8463;8464;8465;8466;9093;9094;9095;9096;9097;9098;9424;9425;9426;9427;9583;9584;9585;9586;9588;9589;9841;9842;10367;10368;10369;10370;10371;10372;10373;10374;10375;12199;12200;12201;12202;12203;12668;12669;12670;12671;12672;12935;12936;12937;12938;12939;12940;12941;12942;12943;12944;12945;12946;12947;12948;12949;12950;12951;12952;12964;12965;12966;12967;12968;12969;12970;12971;12972;12973;12974;12975;12976;12977;12978;12979;12980;12981;13935;13936;13937;13938;13962;13963;13964;13965;14370;14496;14773;14774;14775;15053;15054;15055;15056;15057;15058;15059;15060;15061;15062;15063;15229;15230;15231;15668;15669;15670;15671;15672;15673;15674;15675;15787;15788;15789;15790;15791;15792;15793;16596;16597;16598;18075;18076;18077;18078;18079;18080;18081;18082;18083;18084;18085;18086;18087;18088;18089;18090;18091;18092;18093;18094;18095;18096;18097;18098;18099;18777;18778;18779;18780;18781;18782;18783;19172	270;271;951;2037;4298;4302;6338;6755;7703;8087;8466;9094;9098;9425;9584;9589;9841;10371;12200;12202;12672;12940;12976;13935;13962;13965;14370;14496;14773;15057;15060;15061;15230;15669;15672;15790;16598;18095;18099;18782;19172	7;25;26;27;28	150;271;291;306;321
sp|P13647|K2C5_HUMAN;CON__P13647;CON__P07744;CON__REFSEQ:XP_932229	sp|P13647|K2C5_HUMAN;CON__P13647	36;36;5;1	27;27;0;0	6;6;0;0	sp|P13647|K2C5_HUMAN Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3;	4	36	27	6	47.8	39.3	9.5	62.378	590	590;590;525;345	0	288.01	1084100	2068800	1269200	3375600	1066100	270940	279290	1072600	1334000	1068300	897150	897870	811420	1159200	534030	1000700	1941100	1266200	3286100	1098900	482020	351340	1057700	1292100	1085400	927890	931430	817030	1103100	515890	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	5276200000	60			+	28	203;716;1384;2256;2285;2286;2384;2528;2861;2981;3745;4340;4362;4363;5663;5681;5682;5691;5746;6161;6245;6246;6354;6840;6872;7085;7086;7237;7567;7931;7980;7981;8169;8844;8900;8904	True;True;True;True;False;False;False;True;True;True;True;True;False;False;True;False;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True	207;738;1425;1426;2337;2367;2368;2468;2619;2958;3083;3868;4485;4507;4508;5890;5908;5909;5919;5980;5981;6417;6505;6506;6617;7116;7150;7372;7373;7536;7869;8250;8301;8302;8303;8304;8495;8496;8497;9199;9255;9259	324;1157;1158;2290;2291;2292;3773;3774;3815;3816;3817;3982;3983;4211;4717;4889;6156;7097;7098;7099;7100;7130;7131;7132;9302;9303;9331;9332;9333;9334;9335;9350;9351;9452;9453;9454;10201;10341;10342;10513;11221;11222;11284;11285;11655;11656;11657;11885;12375;12376;13000;13076;13077;13078;13079;13080;13081;13082;13083;13084;13394;13395;13396;14476;14556;14557;14558;14563	399;1517;1518;2999;3000;3001;4888;4889;4936;4937;4938;4939;4940;4941;4942;4943;4944;5164;5165;5166;5464;6084;6299;6300;8128;9473;9474;9475;9476;9516;9517;9518;12369;12370;12371;12372;12415;12416;12417;12418;12419;12435;12436;12437;12568;12569;12570;13558;13559;13753;13754;13755;13958;14830;14831;14912;14913;15395;15396;15397;15685;16268;16269;17034;17035;17115;17116;17117;17118;17119;17120;17121;17122;17123;17124;17575;17576;17577;17578;17579;19041;19042;19124;19125;19126;19127;19134	399;1518;2999;4889;4938;4944;5164;5464;6084;6299;8128;9474;9516;9518;12371;12415;12419;12437;12568;13558;13753;13755;13958;14831;14913;15396;15397;15685;16268;17034;17115;17121;17575;19042;19126;19134	8;29;30;31;32	247;274;284;297;303
CON__P15497;sp|P02647|APOA1_HUMAN	CON__P15497	4;1	4;1	4;1		2	4	4	4	17	17	17	30.276	265	265;267	0	24.917	76044	62390	60221	77759	57736	37787	33206	96516	53524	58144	85859	46284	60962	49054	37258	69994	58452	62236	77555	59334	41916	35206	94155	54589	60442	85203	47667	61811	46823	36071	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	67202000	4			+	29	2056;5133;6289;8137	True;True;True;True	2133;5308;6549;8463	3492;8365;10398;13340	4584;11147;13816;17501	4584;11147;13816;17501		
sp|P19013|K2C4_HUMAN;CON__P19013	sp|P19013|K2C4_HUMAN;CON__P19013	6;6	2;2	1;1	sp|P19013|K2C4_HUMAN Keratin, type II cytoskeletal 4 OS=Homo sapiens OX=9606 GN=KRT4 PE=1 SV=5;	2	6	2	1	11.3	4.6	2.3	56.143	520	520;594	0	14.838	17243	97506	15481	17209	24720	6263.9	4997.9	24622	11554	22716	19039	15749	14308	15911	6146.1	15885	89724	15919	23248	24390	7633.6	6258.9	24124	11708	22951	18893	16269	14351	15201	6022.9	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	19141000	3			+	30	167;717;2258;2285;5692;8194	False;False;False;False;True;True	169;739;2340;2367;5920;8522	263;1159;1160;3779;3780;3815;3816;9352;13429	331;1519;1520;4897;4898;4899;4936;4937;4938;4939;4940;4941;4942;4943;12438;12439;17618	331;1520;4899;4938;12438;17618		
CON__P34955	CON__P34955	1	1	1		1	1	1	1	2.2	2.2	2.2	46.103	416	416	0.008871	5.9615	35536	29928	31921	40282	16800	11149	8523.2	44326	23365	36851	39863	25898	24302	23248	15761	32734	28028	32410	39805	18342	13842	9437.3	43290	23528	37405	39367	26612	24863	22261	15235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20801000	1			+	31	2913	True	3013	4786	6171	6171		
sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908;sp|Q9NY12|GAR1_HUMAN	sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908	51;51;50;1	48;48;47;1	34;34;33;1	sp|P35908|K22E_HUMAN Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2;;	4	51	48	34	74.5	72.6	57.6	65.432	639	639;639;645;217	0	323.31	2564100	6700500	2711100	7934500	3626300	1223600	1130900	2889400	5078800	2856100	2847800	3218500	3176700	3868800	2144300	2364900	6253100	2742600	7872400	3620500	1655200	1369400	2873200	4909900	2941300	2999800	3295500	3179900	3685100	2069800	134	134	134	134	134	128	131	134	134	134	134	134	134	134	134	47287000000	134			+	32	29;652;717;1390;1448;1775;2285;2286;2386;2660;2707;2724;2725;2751;2756;2758;3019;3181;3185;3412;3933;4058;4303;4304;4362;4363;4898;5008;5009;5484;5670;5671;5691;5916;5917;5918;6932;6952;6953;7074;7473;7474;7953;7954;7955;8185;8189;8504;8900;8908;8958	True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True	30;671;739;1433;1434;1494;1495;1835;2367;2368;2470;2753;2802;2820;2821;2847;2852;2855;3121;3288;3292;3526;4063;4064;4193;4447;4448;4507;4508;5066;5180;5181;5693;5694;5897;5898;5919;6161;6162;6163;7211;7232;7233;7363;7773;7774;8273;8274;8275;8276;8513;8517;8845;8846;9255;9263;9314	45;1048;1159;1160;2307;2308;2309;2310;2311;2312;2400;2401;2402;2403;2404;2959;3815;3816;3817;3988;3989;3990;4398;4399;4466;4467;4495;4496;4497;4498;4499;4500;4501;4559;4560;4561;4577;4578;4584;4585;4946;4947;4948;4949;4950;5219;5223;5617;5618;5619;6471;6472;6653;7041;7042;7130;7131;7132;7969;7970;8157;8158;8968;8969;8970;8971;8972;8973;9314;9315;9316;9317;9318;9350;9351;9749;9750;9751;9752;9753;11365;11366;11402;11403;11404;11405;11637;11638;11639;12233;12234;12235;12236;12237;12238;13038;13039;13040;13041;13042;13043;13417;13422;13423;13934;13935;14556;14557;14558;14568;14569;14641;14642	51;1372;1519;1520;3020;3021;3022;3023;3024;3025;3134;3135;3136;3137;3138;3837;3838;4936;4937;4938;4939;4940;4941;4942;4943;4944;5171;5172;5173;5174;5175;5176;5177;5178;5179;5704;5705;5780;5781;5782;5810;5811;5812;5813;5814;5815;5816;5817;5888;5889;5890;5913;5914;5920;5921;5922;5923;6364;6365;6366;6367;6368;6369;6738;6744;6745;6746;6747;6748;7376;7377;7378;7379;8564;8565;8566;8867;9404;9405;9516;9517;9518;10617;10618;10619;10856;10857;10858;11916;11917;11918;11919;11920;11921;11922;12390;12391;12392;12393;12394;12395;12396;12397;12435;12436;12437;12953;12954;12955;12956;12957;12958;15005;15006;15048;15049;15050;15051;15052;15364;15365;15366;15367;15368;16096;16097;16098;16099;16100;16101;16102;17074;17075;17076;17077;17078;17079;17080;17606;17611;17612;18334;18335;19124;19125;19126;19127;19139;19140;19234;19235	51;1372;1520;3025;3138;3838;4938;4944;5176;5704;5780;5810;5817;5888;5914;5921;6369;6738;6746;7379;8566;8867;9404;9405;9516;9518;10619;10857;10858;11917;12395;12397;12437;12954;12955;12958;15006;15051;15052;15367;16097;16100;17074;17076;17080;17606;17612;18335;19126;19139;19235	24;33;34;35;36	257;294;337;467;491
